sample_id,country,region,latitude,longitude,altitude,sampling_date,nitrogen_total,phosphorus_avail,potassium_exch,pH_water,organic_carbon,sand_percent,silt_percent,clay_percent,bulk_density,cation_exchange_cap,NDVI_mean,NDVI_std,rainfall_annual,landcover_class,crop_type_reported,yield_reported,fertility_score
TAN_2023_0015,Tanzania,Mwanza,-2.442,29.1446,628.0,2023-10-03,8.45,79.77,2.682,5.47,67.8,40.6,32.1,27.2,1.421,37.41,0.539,0.01,487,Grassland,,,74.51
ZAM_2021_0016,Zambia,Eastern,-0.0912,34.0432,832.0,2021-07-05,1.73,32.95,0.696,5.99,17.01,18.2,28.4,53.4,1.229,29.61,0.25,0.109,805,Wetland,,,30.82
TAN_2016_0017,Tanzania,Kilimanjaro,-2.7876,32.0408,482.0,2016-01-25,3.412,99.43,2.265,6.31,29.27,83.8,9.4,6.9,1.346,17.66,0.56,0.05,676,Cropland,,,58.57
TAN_2016_0018,Tanzania,Kilimanjaro,-6.2173,33.2772,251.0,2016-07-16,2.873,35.58,2.186,6.5,30.86,77.6,15.1,7.3,1.555,15.08,0.3,0.062,604,Cropland,,,50.43
ZIM_2019_0019,Zimbabwe,Manicaland,-1.121,35.5981,767.0,2019-10-11,2.949,148.7,2.913,4.73,31.24,55.3,31.0,13.6,1.175,26.72,0.274,0.052,1207,Grassland,,,62.2
ETH_2020_0020,Ethiopia,SNNPR,-8.0609,38.325,355.0,2020-02-27,3.919,45.96,1.808,4.85,33.85,40.0,41.9,18.0,1.28,24.17,0.466,0.052,938,Cropland,Sweet Potato,2469.0,39.21
KEN_2023_0021,Kenya,Central,3.9223,33.2263,1708.0,2023-04-02,1.09,40.26,0.848,5.79,12.48,27.1,12.6,60.3,1.146,29.28,0.474,0.03,665,Forest,,,29.24
RWA_2017_0022,Rwanda,Southern,-3.9591,34.1058,440.0,2017-07-11,3.828,71.12,1.462,9.2,36.02,12.4,20.6,67.0,0.986,46.47,0.755,0.088,1886,Cropland,,,44.44
KEN_2020_0023,Kenya,Nyanza,-10.093,33.4501,570.0,2020-09-07,3.051,46.69,1.433,9.2,,52.6,31.4,15.9,1.232,29.94,0.427,0.106,759,Cropland,,,35.08
MAL_2018_0024,Malawi,Central,1.1312,37.223,334.0,2018-01-30,2.895,45.42,2.038,7.52,27.85,10.7,25.2,64.0,1.017,41.03,,,744,Forest,,,40.99
ETH_2022_0025,Ethiopia,Oromia,-10.3408,28.3416,1121.0,2022-02-05,5.038,,3.295,8.47,43.85,15.9,39.0,45.1,1.187,34.16,0.476,0.129,846,Grassland,,,66.23
TAN_2023_0026,Tanzania,Kilimanjaro,-11.2712,38.9142,689.0,2023-03-26,5.143,70.01,1.92,6.03,44.79,47.2,46.2,6.6,1.396,31.07,,,350,Cropland,,,55.12
ZAM_2023_0027,Zambia,Lusaka,1.4936,32.8693,1576.0,2023-12-20,5.087,106.09,2.826,7.95,45.08,,,,1.182,48.19,0.667,0.069,709,Grassland,,,66.61
ZAM_2020_0028,Zambia,Eastern,3.7446,37.6304,405.0,2020-08-12,4.729,100.24,3.583,7.48,42.58,,,,1.071,32.53,,,829,Cropland,Beans,2776.0,68.79
UGA_2020_0029,Uganda,Central,4.6796,33.7307,739.0,2020-01-11,3.893,63.66,2.035,7.54,39.5,12.6,30.5,56.9,1.304,43.98,0.393,0.22,1177,Cropland,,,50.71
UGA_2016_0030,Uganda,Central,-1.1004,40.0417,551.0,2016-12-28,5.931,68.57,1.012,5.27,49.49,26.0,14.9,59.1,,46.9,,,1266,Cropland,,,58.98
ETH_2020_0031,Ethiopia,Oromia,-2.1284,35.3696,1317.0,2020-02-06,3.223,130.63,1.528,6.96,31.26,10.6,51.9,37.5,1.212,,0.617,0.119,593,Cropland,,,53.55
ZIM_2023_0032,Zimbabwe,Mashonaland,-3.153,40.7731,1453.0,2023-03-09,,46.77,0.814,5.51,15.62,21.9,30.6,47.6,1.313,25.76,0.144,0.114,450,Bare,,,27.93
ZIM_2022_0033,Zimbabwe,Mashonaland,-2.6571,37.8949,1309.0,2022-07-28,2.909,68.53,1.496,7.32,26.05,19.0,41.7,39.3,,30.09,0.603,0.079,279,Cropland,,,52.78
ZAM_2021_0034,Zambia,Copperbelt,2.3628,30.4801,1741.0,2021-07-30,2.254,73.28,1.992,6.3,32.4,73.0,7.0,20.0,1.175,27.22,0.313,0.196,790,Forest,,,44.8
KEN_2015_0035,Kenya,Western,-7.6708,33.5464,565.0,2015-07-26,4.58,156.3,1.656,8.77,56.8,18.0,33.7,48.3,1.307,48.7,0.797,0.095,1089,Cropland,,,64.17
ETH_2018_0036,Ethiopia,Amhara,-4.2168,32.3583,2393.0,2018-04-08,3.477,80.83,1.524,6.34,40.42,22.7,40.8,36.5,1.233,35.18,0.676,0.044,1000,Cropland,,,57.68
ZAM_2019_0037,Zambia,Lusaka,-5.9646,36.2125,881.0,2019-08-25,4.726,139.88,1.612,6.51,60.93,18.1,22.6,59.3,1.34,48.7,0.568,0.034,624,Forest,,,72.51
ETH_2023_0038,Ethiopia,Tigray,-10.3258,35.5602,1297.0,2023-02-20,4.68,91.66,2.619,8.63,39.65,53.4,34.9,11.8,1.241,28.25,0.628,0.011,1203,Grassland,,,55.59
KEN_2018_0039,Kenya,Western,-9.7377,33.0419,260.0,2018-03-27,3.536,68.28,1.573,9.2,34.4,60.7,33.1,6.2,1.364,16.12,0.459,0.06,897,Cropland,,,38.55
UGA_2015_0040,Uganda,Northern,4.2623,35.6934,1694.0,2015-03-26,2.527,24.2,,6.6,24.98,74.3,5.9,19.8,1.234,19.18,,,1215,Cropland,,,34.1
ZAM_2022_0041,Zambia,Copperbelt,2.7321,34.297,768.0,2022-05-27,0.784,58.14,0.561,7.24,8.33,65.9,16.4,17.7,,11.16,,,513,Grassland,,,31.17
ZIM_2018_0042,Zimbabwe,Mashonaland,-6.2479,31.5654,596.0,2018-06-01,5.275,82.09,3.87,8.53,47.75,11.4,28.5,60.1,1.035,45.0,0.82,0.146,937,Bare,,,66.31
KEN_2015_0043,Kenya,Central,-2.6997,38.8449,1393.0,2015-01-26,2.647,70.72,0.648,8.49,21.77,14.8,17.2,68.0,1.124,,0.139,0.123,858,Cropland,,,33.21
TAN_2023_0044,Tanzania,Mara,-11.7037,29.8442,1690.0,2023-02-11,8.04,120.18,2.017,7.44,67.28,14.9,49.7,35.3,1.292,,0.381,0.074,419,Cropland,,,77.07
ETH_2021_0045,Ethiopia,Amhara,-12.0222,32.2785,493.0,2021-03-03,4.175,122.87,1.948,4.27,56.29,21.2,23.5,55.3,1.39,48.7,0.591,0.115,695,Cropland,Maize,4727.0,61.72
ETH_2023_0046,Ethiopia,Tigray,-0.2867,41.9769,696.0,2023-06-11,1.195,61.33,0.576,5.94,11.36,30.5,46.6,22.9,1.295,9.53,0.421,0.048,1028,Cropland,,,29.44
MAL_2019_0047,Malawi,Northern,-12.2929,38.5193,1314.0,2019-07-22,4.908,,3.354,5.36,42.49,12.8,20.5,66.7,1.148,,0.767,0.073,717,Grassland,,,58.26
RWA_2020_0048,Rwanda,Western,-12.7181,30.1175,757.0,2020-02-07,4.777,134.66,1.522,6.19,42.99,73.4,14.6,11.9,1.491,23.15,0.62,0.027,1205,Cropland,,,66.32
ETH_2023_0049,Ethiopia,Oromia,-10.2241,34.3174,1753.0,2023-04-20,2.671,61.62,0.959,5.99,37.7,28.3,22.8,48.9,1.311,34.75,0.475,0.03,1157,Cropland,,,42.5
MAL_2018_0050,Malawi,Northern,4.3425,33.8487,824.0,2018-07-09,3.256,56.89,1.165,5.0,33.73,40.8,44.2,15.0,1.275,17.0,0.157,0.031,600,Cropland,Tea,2015.0,42.24
KEN_2019_0051,Kenya,Nyanza,-5.5743,41.7075,1465.0,2019-12-06,4.174,101.13,1.484,6.17,38.9,,,,1.378,27.37,0.695,0.046,658,Bare,,,58.6
TAN_2016_0052,Tanzania,Arusha,3.3615,31.9205,806.0,2016-02-24,5.983,41.62,1.393,5.98,58.13,27.0,6.4,66.6,1.064,48.7,0.743,0.108,570,Cropland,,,54.62
RWA_2018_0053,Rwanda,Eastern,-6.3915,32.4373,1090.0,2018-06-25,5.031,71.78,,8.83,42.64,22.0,9.7,68.3,1.149,48.7,0.405,0.049,1216,Grassland,,,45.22
RWA_2019_0054,Rwanda,Western,-14.8899,28.1073,877.0,2019-01-27,2.304,38.45,1.199,6.53,21.16,64.4,17.0,18.6,1.143,20.34,0.624,0.036,1444,Cropland,Tea,1931.0,41.38
KEN_2020_0055,Kenya,Western,3.8345,37.36,501.0,2020-03-07,4.626,57.18,1.855,6.89,41.53,12.5,51.0,36.5,1.052,,0.673,0.128,1006,Bare,,,60.18
TAN_2023_0056,Tanzania,Kilimanjaro,-3.356,33.1964,650.0,2023-12-28,,82.2,2.587,5.11,37.55,64.3,26.0,9.7,1.417,27.5,0.775,0.037,605,Cropland,,,52.06
ETH_2017_0057,Ethiopia,Oromia,3.0017,29.6259,1006.0,2017-10-07,,137.06,2.418,4.36,44.19,52.0,37.8,10.1,1.232,20.2,0.819,0.05,622,Grassland,,,56.54
TAN_2017_0058,Tanzania,Kilimanjaro,-10.445,41.4964,890.0,2017-01-22,,68.65,1.085,6.15,16.76,,,,1.172,10.25,0.28,0.168,1243,Cropland,,,38.31
KEN_2018_0059,Kenya,Central,1.9394,40.5033,1503.0,2018-12-16,3.196,52.68,2.414,5.69,32.83,26.7,12.5,60.8,1.103,42.03,0.65,0.148,987,,,,51.78
MAL_2021_0060,Malawi,Southern,-13.5537,41.3716,246.0,2021-11-14,2.559,46.7,1.055,7.58,29.42,14.5,33.8,51.7,1.176,35.63,0.457,0.167,438,Cropland,,,27.54
UGA_2017_0061,Uganda,Western,-12.1425,38.8548,1191.0,2017-07-31,2.675,20.25,0.491,5.75,32.15,59.5,22.9,17.6,,21.12,0.406,0.051,1380,Cropland,,,38.0
MAL_2018_0062,Malawi,Central,-9.039,29.4751,1521.0,2018-05-17,4.226,71.79,1.892,6.79,40.18,19.4,22.5,58.0,1.206,42.47,0.67,0.01,863,Grassland,,,60.03
ETH_2015_0063,Ethiopia,Tigray,-4.6828,31.7463,1688.0,2015-08-29,4.266,73.84,1.49,9.2,44.8,,,,1.258,45.46,,,1145,Cropland,,,41.32
ZIM_2019_0064,Zimbabwe,Matabeleland,0.6075,34.4119,325.0,2019-04-27,2.623,53.01,1.407,4.32,22.52,22.4,37.6,39.9,,28.4,,,982,Cropland,,,28.7
UGA_2020_0065,Uganda,Northern,-14.8432,36.8329,2465.0,2020-05-22,1.527,73.98,,6.16,16.25,84.3,-1.2,16.9,,,0.296,0.078,2007,,,,31.22
RWA_2023_0066,Rwanda,Eastern,0.1462,30.2634,2732.0,2023-07-24,6.379,61.2,2.311,7.06,54.42,19.6,44.4,36.0,1.269,39.22,0.652,0.108,1345,Wetland,,,60.81
MAL_2016_0067,Malawi,Northern,-10.192,30.6823,324.0,2016-05-13,4.54,94.31,3.37,6.22,41.74,28.9,4.8,66.3,1.132,48.7,0.567,0.083,434,Cropland,,,67.67
RWA_2016_0068,Rwanda,Northern,-1.907,30.1223,1383.0,2016-11-01,1.017,34.53,0.393,6.77,,75.5,5.0,19.5,1.359,9.35,0.229,0.143,1758,Cropland,,,23.48
MAL_2023_0069,Malawi,Central,-4.1101,37.9305,1412.0,2023-03-01,4.924,88.29,2.887,7.34,49.32,74.3,9.8,15.9,1.26,33.05,0.567,0.017,911,Forest,,,68.13
UGA_2015_0070,Uganda,Eastern,-14.7716,37.8518,1027.0,2015-12-29,3.204,64.4,1.834,8.09,27.68,55.5,34.8,9.6,1.293,19.76,0.469,0.03,1631,Cropland,,,42.64
UGA_2021_0071,Uganda,Eastern,-6.3447,37.5962,700.0,2021-02-05,3.57,53.74,1.368,8.28,30.69,,,,1.215,27.53,0.453,0.207,951,,,,37.17
MAL_2016_0072,Malawi,Southern,-9.0542,29.2889,2575.0,2016-06-02,,96.7,1.902,4.65,46.51,,,,1.217,42.9,,,1039,Cropland,,,54.8
ZAM_2021_0073,Zambia,Copperbelt,-0.0323,40.8037,318.0,2021-12-23,4.088,103.04,,9.01,36.85,35.0,34.3,30.7,,28.21,,,1041,Cropland,,,50.22
UGA_2021_0074,Uganda,Northern,-0.1424,38.3308,641.0,2021-12-13,2.373,47.26,2.434,9.2,21.99,28.7,13.5,57.7,1.349,32.64,,,867,Forest,,,33.6
RWA_2023_0075,Rwanda,Western,-13.5902,30.5991,239.0,2023-01-01,3.495,44.23,2.342,4.96,31.36,48.3,49.1,2.7,1.227,12.67,0.462,0.023,979,Cropland,,,43.8
ZAM_2020_0076,Zambia,Eastern,-10.408,29.6457,1839.0,2020-08-26,4.021,68.81,1.881,5.02,42.26,65.0,21.9,13.1,,29.63,0.824,0.059,497,Cropland,,,49.83
UGA_2017_0077,Uganda,Northern,-14.6375,39.0986,1037.0,2017-12-04,6.346,79.37,1.953,7.59,,79.9,1.8,18.2,1.438,32.33,0.541,0.045,1682,Cropland,,,63.83
MAL_2018_0078,Malawi,Northern,-13.6257,33.174,741.0,2018-12-11,2.985,60.32,1.156,6.94,29.2,45.6,45.0,9.3,1.33,22.55,,,914,Cropland,,,48.29
UGA_2015_0079,Uganda,Western,-2.3522,30.1907,2738.0,2015-01-24,4.273,66.71,3.236,5.81,37.04,28.8,27.0,44.2,1.303,31.93,0.782,0.097,1115,Wetland,,,55.2
ETH_2021_0080,Ethiopia,Tigray,-9.8085,28.4715,1523.0,2021-11-19,4.975,110.79,2.503,7.22,46.13,11.9,50.7,37.4,1.313,39.86,0.701,0.035,890,Cropland,,,66.58
ZAM_2021_0081,Zambia,Copperbelt,-2.6095,35.8875,1830.0,2021-05-05,1.634,44.62,1.527,6.06,23.78,11.1,33.2,55.8,1.238,40.07,0.3,0.094,667,Grassland,,,43.81
KEN_2021_0082,Kenya,Western,1.7473,30.3762,1069.0,2021-04-23,2.148,49.51,1.421,,25.77,10.6,52.5,36.8,1.159,,0.256,0.099,858,Grassland,,,41.65
ZIM_2023_0083,Zimbabwe,Mashonaland,-13.7521,32.6939,1306.0,2023-05-08,3.579,59.54,1.746,6.23,30.64,59.0,30.7,10.3,1.243,18.07,0.641,0.04,766,Cropland,,,43.81
ZIM_2023_0084,Zimbabwe,Manicaland,-5.8083,32.2905,971.0,2023-10-14,4.463,81.62,1.665,8.94,44.74,19.9,19.2,61.0,1.292,46.58,0.525,0.136,1012,Cropland,Sweet Potato,1937.0,48.35
ZAM_2022_0085,Zambia,Eastern,-9.4271,31.0619,438.0,2022-03-23,3.734,37.17,2.002,5.24,35.66,14.4,27.0,58.5,1.215,40.31,0.401,0.081,572,,,,45.3
ZIM_2018_0086,Zimbabwe,Matabeleland,-5.6386,34.5282,717.0,2018-11-23,3.686,97.76,2.076,7.99,44.58,30.5,39.0,30.5,,35.48,0.488,0.034,609,Grassland,,,58.45
ZIM_2018_0087,Zimbabwe,Manicaland,1.5372,35.3463,662.0,2018-05-21,3.216,94.89,1.595,7.01,28.01,83.7,11.1,5.2,1.43,19.06,0.723,0.031,654,,,,54.57
RWA_2019_0088,Rwanda,Southern,-6.0657,35.0213,790.0,2019-06-21,5.666,107.58,2.66,7.59,47.13,47.7,47.9,4.4,1.31,27.11,0.575,0.031,1149,Forest,,,62.04
ETH_2017_0089,Ethiopia,Amhara,-12.6683,35.6537,895.0,2017-04-29,1.991,61.82,1.568,6.98,,57.5,36.5,6.0,,15.9,,,1050,Grassland,,,41.71
UGA_2021_0090,Uganda,Central,-8.0496,28.7049,3084.0,2021-07-28,3.106,31.18,0.484,6.62,26.15,34.2,31.7,34.1,1.096,18.22,0.223,0.012,1276,Cropland,,,40.32
ZAM_2018_0091,Zambia,Lusaka,-1.8718,41.5961,2634.0,2018-08-04,3.845,97.61,1.163,5.24,43.23,62.4,26.4,11.2,1.432,29.95,,,459,Forest,,,50.08
KEN_2021_0092,Kenya,Nyanza,4.1624,31.0862,,2021-09-02,3.485,76.56,1.628,8.95,,79.5,8.2,12.3,1.118,20.19,0.517,0.054,876,Bare,,,41.54
RWA_2021_0093,Rwanda,Western,-2.9294,37.2331,657.0,2021-10-03,6.58,84.86,1.775,6.51,56.92,23.2,41.2,35.6,1.168,39.3,0.741,0.089,1292,Grassland,,,67.98
UGA_2018_0094,Uganda,Northern,-7.0463,41.6332,998.0,2018-05-20,4.994,81.35,1.936,6.88,42.67,53.3,34.9,11.8,1.399,24.95,,,1603,Cropland,Millet,2839.0,51.61
MAL_2021_0095,Malawi,Southern,-7.7785,33.7184,840.0,2021-03-26,4.962,107.15,2.808,7.03,41.44,78.9,10.2,11.0,1.365,23.03,0.533,0.121,821,Forest,,,71.2
KEN_2015_0096,Kenya,Eastern,-10.9694,41.0821,1794.0,2015-02-12,3.779,85.22,3.012,5.9,31.09,14.5,23.6,61.9,1.347,37.15,0.602,0.025,1077,Cropland,Sweet Potato,2081.0,60.23
TAN_2019_0097,Tanzania,Mara,-14.443,36.8393,2314.0,2019-07-14,2.317,17.88,0.71,6.65,26.39,32.9,44.3,22.8,1.258,23.0,-0.041,0.065,730,Cropland,,,33.13
MAL_2021_0098,Malawi,Central,-3.8684,32.7982,1240.0,2021-05-23,2.486,95.77,,7.77,25.43,68.0,25.7,6.3,1.116,17.86,0.249,0.032,574,Cropland,Sorghum,1984.0,48.89
ZIM_2023_0099,Zimbabwe,Mashonaland,-8.6952,29.8649,1256.0,2023-01-27,7.171,84.81,3.87,7.25,59.38,32.5,49.3,18.2,1.29,34.02,0.521,0.063,739,,,,76.46
ETH_2015_0100,Ethiopia,Oromia,1.1985,36.1638,623.0,2015-05-07,3.822,67.76,1.736,5.61,,19.1,19.4,61.5,1.048,47.62,0.549,0.071,655,Grassland,,,49.17
TAN_2017_0101,Tanzania,Mwanza,-6.7035,33.4218,962.0,2017-08-31,8.45,85.67,1.983,6.86,67.8,14.2,25.1,60.7,1.176,,0.755,0.133,736,Cropland,Beans,2961.0,79.74
ZIM_2019_0102,Zimbabwe,Manicaland,1.5688,29.1226,1160.0,2019-07-08,3.876,65.07,1.901,6.93,38.07,10.4,21.3,68.3,1.086,48.7,,,1098,Cropland,,,50.48
ETH_2019_0103,Ethiopia,Amhara,-7.9379,39.197,2129.0,2019-02-25,3.636,106.54,2.269,5.04,36.56,11.6,30.1,58.3,1.053,40.97,0.295,0.013,971,Cropland,,,47.82
RWA_2021_0104,Rwanda,Western,4.1958,28.6817,,2021-04-12,2.49,72.32,0.605,5.75,30.85,67.1,21.6,11.2,1.455,20.24,0.45,0.021,920,Cropland,Beans,1528.0,38.53
ETH_2016_0105,Ethiopia,SNNPR,2.4861,39.6287,771.0,2016-10-16,4.821,90.74,1.634,8.03,45.4,64.1,23.1,12.8,1.215,32.71,,,1242,Cropland,,,51.11
ZAM_2020_0106,Zambia,Eastern,-14.496,32.9676,1297.0,2020-02-05,7.585,56.9,1.101,6.8,61.4,,,,1.239,42.35,0.497,0.01,938,Cropland,,,65.0
KEN_2022_0107,Kenya,Eastern,-10.0629,32.2898,1933.0,2022-02-24,0.749,10.25,1.768,4.74,17.11,50.7,42.0,7.3,1.317,14.47,0.426,0.145,1062,Bare,,,21.89
ZIM_2017_0108,Zimbabwe,Manicaland,0.1608,38.6401,621.0,2017-08-11,3.68,79.21,2.051,7.73,43.72,,,,1.341,42.51,0.308,0.03,721,Grassland,,,52.91
RWA_2022_0109,Rwanda,Western,-12.8197,31.4796,1853.0,2022-08-12,3.76,136.97,1.578,7.05,39.98,29.0,31.1,39.8,1.169,39.49,0.308,0.115,1272,Cropland,,,64.82
MAL_2016_0110,Malawi,Northern,-4.0218,30.6487,,2016-05-22,6.351,114.29,1.894,7.39,57.21,51.7,28.9,19.4,1.398,40.72,0.82,0.027,784,Cropland,,,70.18
ZIM_2021_0111,Zimbabwe,Manicaland,-13.5327,37.284,339.0,2021-06-22,3.412,80.92,3.363,5.56,32.29,62.1,32.1,5.8,1.335,17.35,0.405,0.088,835,Cropland,Coffee,2201.0,57.0
TAN_2018_0112,Tanzania,Kilimanjaro,4.8866,31.2582,998.0,2018-07-01,1.773,43.86,0.416,5.86,20.39,30.1,38.1,31.8,1.198,24.91,0.22,0.018,542,Cropland,Tea,1214.0,26.74
KEN_2018_0113,Kenya,Nyanza,-9.047,32.1729,571.0,2018-02-13,5.538,68.72,1.897,6.94,58.18,26.4,6.8,66.8,1.156,48.7,0.588,0.023,534,Grassland,,,59.2
ZIM_2018_0114,Zimbabwe,Manicaland,-7.4527,33.7892,1174.0,2018-12-20,3.323,47.73,2.419,7.13,29.7,56.7,36.1,7.2,1.356,20.32,0.409,0.034,419,Cropland,Sweet Potato,1994.0,52.1
ZIM_2016_0115,Zimbabwe,Mashonaland,-10.9182,34.5666,1334.0,2016-05-30,2.581,39.7,0.947,5.51,24.69,12.5,35.6,51.9,1.242,32.46,,,763,,,,39.35
UGA_2020_0116,Uganda,Eastern,-0.2414,36.364,917.0,2020-08-30,2.332,54.78,0.799,7.43,21.84,17.3,18.0,64.7,1.263,40.98,0.409,0.042,1728,Cropland,,,33.31
ZAM_2023_0117,Zambia,Eastern,-10.6794,41.5418,2901.0,2023-06-19,2.593,35.83,2.042,8.79,27.76,44.6,42.0,13.4,1.399,21.52,0.152,0.119,630,Grassland,,,31.33
RWA_2019_0118,Rwanda,Eastern,-11.3636,34.0249,1439.0,2019-04-29,2.634,117.6,1.491,5.96,29.68,75.4,17.8,6.8,1.361,11.89,0.292,0.079,1504,Grassland,,,53.43
MAL_2023_0119,Malawi,Northern,-8.3111,35.2704,1470.0,2023-12-20,0.894,15.24,0.916,5.7,11.01,24.8,20.8,54.3,1.101,27.13,0.654,0.081,254,Cropland,Sweet Potato,928.0,21.11
RWA_2016_0120,Rwanda,Eastern,-6.242,39.8159,715.0,2016-04-09,2.514,52.18,2.764,4.51,28.91,,,,1.205,25.81,0.577,0.057,915,Cropland,,,42.41
TAN_2015_0121,Tanzania,Arusha,3.6513,36.0593,1217.0,2015-12-29,2.438,62.12,1.909,7.22,23.9,10.8,32.6,56.6,1.342,33.5,,,298,Cropland,,,42.54
KEN_2023_0122,Kenya,Western,-4.2327,40.7852,879.0,2023-05-30,3.674,56.5,2.192,6.83,38.01,24.8,12.3,62.9,1.145,42.29,0.663,0.12,1203,Bare,,,51.51
ZIM_2015_0123,Zimbabwe,Mashonaland,-0.1526,31.1966,974.0,2015-10-21,4.582,129.17,2.69,4.77,,43.8,43.2,12.9,1.049,25.93,0.557,0.062,254,Cropland,,,67.82
ZIM_2017_0124,Zimbabwe,Matabeleland,-4.0057,33.8403,1326.0,2017-01-27,,58.44,1.807,6.66,37.27,39.4,34.5,26.0,1.224,26.14,0.412,0.055,1062,Bare,,,52.37
ZIM_2016_0125,Zimbabwe,Mashonaland,-5.6456,36.4826,817.0,2016-07-24,7.649,86.08,1.78,6.3,,59.8,29.2,11.1,1.208,,,,729,Cropland,,,69.35
KEN_2017_0126,Kenya,Rift Valley,3.9674,29.2786,1115.0,2017-10-16,3.287,36.51,1.398,8.58,37.39,40.9,43.9,15.2,1.332,24.8,0.638,0.031,509,Cropland,,,32.12
UGA_2023_0127,Uganda,Central,-14.8183,37.0762,1501.0,2023-08-02,3.549,,1.415,5.52,29.07,15.5,25.5,59.1,1.113,37.78,0.505,0.053,801,Cropland,Beans,1682.0,38.25
ZAM_2022_0128,Zambia,Copperbelt,-0.2084,30.9536,978.0,2022-06-02,4.965,75.86,1.855,4.84,42.78,29.1,1.7,69.2,1.018,47.18,,,846,Wetland,,,49.16
RWA_2016_0129,Rwanda,Northern,-6.8163,32.6113,583.0,2016-04-16,2.668,24.87,1.283,8.42,24.24,16.7,31.7,51.6,,33.34,0.37,0.288,1385,Cropland,,,24.52
ETH_2018_0130,Ethiopia,Amhara,0.5175,39.3114,820.0,2018-03-30,2.343,44.75,0.8,7.52,25.47,12.1,47.2,40.7,1.151,21.9,,,1410,Cropland,,,34.23
KEN_2022_0131,Kenya,Eastern,1.6995,37.9449,1185.0,2022-12-19,2.709,51.44,2.016,6.84,33.73,,,,1.088,44.41,0.395,0.12,873,Cropland,,,45.52
KEN_2019_0132,Kenya,Rift Valley,-1.7554,38.0145,579.0,2019-12-28,3.277,49.39,0.823,5.88,37.28,34.9,41.0,24.1,1.25,27.64,0.525,0.023,924,Grassland,,,38.18
ZIM_2018_0133,Zimbabwe,Mashonaland,-8.0077,36.3489,1300.0,2018-05-16,3.922,66.71,1.594,5.46,43.18,26.7,13.7,59.6,1.125,47.7,0.475,0.054,461,Cropland,,,50.72
